T1 P1 D6.000000 ;6mm end mill 
T2 P2 D6.000000 ;6mm drill 
T3 P3 D12.000000 ;#12mm endmill 
T4 P4 D5.000000 ;5mm drill 
T5 P5 D8.000000 ;8mm drill 
T6 P6 D10.000000 ;10mm chamfer 
T7 P7 D16.000000 Z+1.273000 ;16mm rough 
T8 P8 D16.000000 Z+1.273000 ;16mm rough 
T9 P9 D16.000000 Z+1.273000 ;16mm rough 
T10 P10 D16.000000 Z+1.273000 ;16mm rough 
T99999 P99999 Z+0.100000 ;big tool number 
T100 P100 D0.100000 X-64.965000 Y+53.979000 Z+0.096000 I+85.000000 J+1.000000 Q2 ;wcmt 04 
T101 P101 D0.400000 X-61.946000 Y+20.922000 Z-0.886000 I+85.000000 J+1.000000 Q2 ;thread 
T200 P200 D5.000000 X+11.998000 Z-37.559000 ;bore mill 5mm 
T201 P201 D1.000000 X+45.000000 ;chuck 
T102 P102 X-80.580000 Y-33.478000 Z+0.057000 ;cut off 
